id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL1374054,4.79,COc1ccc(Cl)cc1-c1nnc(S)o1,Homo sapiens,chembl
CHEMBL1374204,4.43,Cc1ccc(C(=O)C2=C(O)C(=O)N(CCCn3ccnc3)C2c2ccc(OC(C)C)cc2)o1,Homo sapiens,chembl
CHEMBL1374352,4.33,CN(c1ccc(C(=O)Nc2nccs2)cc1)S(=O)(=O)c1ccccc1,Homo sapiens,chembl
CHEMBL1375423,4.45,CCOc1ccc(C(C)=O)cc1Cn1nc(C(=O)O)c2ccccc2c1=O,Homo sapiens,chembl
CHEMBL1377245,4.56,O=C(NCc1cccnc1)c1cccc2c1C(=O)N(C1CCCCC1)C2,Homo sapiens,chembl
CHEMBL1377449,4.43,Cc1nc(NCc2ccco2)c(C#N)c2c1COC(C)(C)C2,Homo sapiens,chembl
CHEMBL1379187,5.3,O=Nc1c(O)n(Cc2cccc(Cl)c2)c2ccccc12,Homo sapiens,chembl
CHEMBL1379677,4.65,O=C1c2ccccc2-c2onc3ccc(NCCCn4ccnc4)c1c23,Homo sapiens,chembl
CHEMBL1379970,4.36,CCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,Homo sapiens,chembl
CHEMBL1381330,5.1,N#Cc1ccc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)cc1,Homo sapiens,chembl
CHEMBL1382723,4.86,c1ccc2[nH]c3c4ccccc4nc-3nc2c1,Homo sapiens,chembl
CHEMBL1384896,4.38,Cc1ccccc1-n1c(SCc2cc(=O)n3ccccc3n2)nc2nncc-2c1O,Homo sapiens,chembl
CHEMBL1386265,5.2,O=C(Nc1ccccc1N1CCOCC1)c1ccc(Br)o1,Homo sapiens,chembl
CHEMBL1391112,4.45,CC(C)n1nc(C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)c2ccccc2c1=O,Homo sapiens,chembl
CHEMBL1391385,5.2,CC1NC(=O)NC1CCCCCC(=O)NCCc1ccccc1,Homo sapiens,chembl
CHEMBL1392612,4.42,O=C(CCn1cnc2ccccc2c1=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,Homo sapiens,chembl
CHEMBL1392784,5.08,COc1ccc(CN/C(C)=C(/C#N)C(N)=O)cc1OC,Homo sapiens,chembl
CHEMBL1392879,4.4,CCOC(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCCN1CCOCC1,Homo sapiens,chembl
CHEMBL1399107,4.12,COc1cccc2c(O)c(C/C=C(/C)Cl)c(C)nc12,Homo sapiens,chembl
